"Date","AAPL","MSFT","META","V","JPM","C","BTC-USD","UEC","GM","ET"
2022-04-21,163.55192565918,273.226745605469,187.187805175781,211.153259277344,120.283981323242,46.3002319335938,40527.36328125,5.13000011444092,39.584171295166,8.88729763031006
2022-04-22,159.001724243164,266.629913330078,183.246337890625,203.075866699219,116.829147338867,45.0686111450195,39740.3203125,4.53000020980835,38.7382278442383,8.60504055023193
2022-04-25,160.07292175293,273.139190673828,186.112838745117,204.812301635742,116.792274475098,44.9806289672852,40458.30859375,4.59999990463257,38.7187881469727,8.47535419464111
2022-04-26,154.097732543945,262.9228515625,180.101181030273,196.178909301758,113.337440490723,44.1888732910156,38117.4609375,4.40999984741211,36.9880180358887,8.597412109375
2022-04-27,153.871704101562,275.571746826172,174.129318237305,208.870544433594,111.863372802734,43.6346435546875,39241.12109375,4.30000019073486,37.5908622741699,8.58215713500977
2022-04-28,160.81982421875,281.80859375,204.764938354492,215.260223388672,113.632247924805,44.0041313171387,39773.828125,4.44000005722046,37.6783752441406,8.69658374786377
2022-04-29,154.933059692383,270.025604248047,199.52961730957,207.914505004883,109.965515136719,42.8487014770508,38609.82421875,4.25,36.8615989685059,8.45246887207031
2022-05-02,155.237777709961,276.787933349609,210.139633178711,206.353668212891,110.9697265625,43.2931022644043,38529.328125,4.21999979019165,37.3866729736328,8.60504055023193
2022-05-03,156.731521606445,274.170593261719,211.035369873047,203.456359863281,113.346672058105,44.528507232666,37750.453125,4.57000017166138,38.8354606628418,8.95595550537109
2022-05-04,163.158828735352,282.149169921875,222.362014770508,209.270492553711,117.096305847168,46.4216461181641,39698.37109375,4.76999998092651,40.0314445495605,9.2153263092041
2022-05-05,154.068237304688,269.860260009766,207.302963256836,200.217620849609,114.166595458984,45.6039619445801,36575.140625,4.26000022888184,38.8451881408691,9.0627555847168
2022-05-06,154.79655456543,267.310974121094,202.81413269043,197.856826782227,113.982345581055,45.8794822692871,36040.921875,4.13000011444092,38.4854202270508,9.02396011352539
2022-05-09,149.658966064453,257.435119628906,195.289611816406,188.277130126953,112.268737792969,44.3418731689453,30296.953125,3.48000001907349,37.2019271850586,8.40322303771973
2022-05-10,152.070266723633,262.22216796875,196.722839355469,188.842910766602,109.532508850098,43.3286514282227,31022.90625,3.38000011444092,37.629753112793,8.29459476470947
2022-05-11,144.186782836914,253.513854980469,187.85466003418,191.906066894531,108.841537475586,42.35986328125,28936.35546875,3.21000003814697,36.2392997741699,8.32563018798828
2022-05-12,140.308959960938,248.454345703125,190.342926025391,189.584762573242,108.749404907227,41.3821907043457,29047.751953125,3.07999992370605,34.5765914916992,8.27131652832031
2022-05-13,144.787109375,254.068466186523,197.688293457031,194.725860595703,109.716766357422,42.3420906066895,29283.103515625,3.44000005722046,37.1533088684082,8.57392597198486
2022-05-16,143.241912841797,254.438232421875,199.101623535156,193.337951660156,108.952079772949,42.1821022033691,29862.91796875,3.44000005722046,36.0740013122559,8.79894256591797
2022-05-17,146.883499145508,259.614532470703,201.669540405273,199.388031005859,112.563552856445,45.3728675842285,30425.857421875,3.73000001907349,37.0463447570801,9.10155296325684
2022-05-18,138.596466064453,247.79443359375,191.338226318359,195.468673706055,110.638046264648,43.8352584838867,28720.271484375,3.35999989509583,34.8391227722168,8.71359157562256
2022-05-19,135.181289672852,246.877670288086,190.392654418945,192.907897949219,108.998153686523,44.2441139221191,30314.333984375,3.42000007629395,35.1211051940918,8.58168506622314
2022-05-20,135.417465209961,246.312026977539,192.632110595703,194.530349731445,108.1044921875,44.2174415588379,29200.740234375,3.36999988555908,34.4210205078125,8.62048053741455
2022-05-23,140.850296020508,254.201873779297,195.309509277344,202.867538452148,114.793090820312,46.9015884399414,29098.91015625,3.60999989509583,35.0044288635254,8.74462795257568
2022-05-24,138.143707275391,253.197402954102,180.429626464844,198.048980712891,116.414558410645,46.8216094970703,29655.5859375,3.38000011444092,34.2362747192383,8.66703701019287
2022-05-25,138.301208496094,256.025604248047,182.967681884766,199.23161315918,117.225288391113,46.8393707275391,29562.361328125,3.57999992370605,34.984977722168,8.87653541564941
2022-05-26,141.509704589844,259.321990966797,190.731079101562,203.835174560547,119.252143859863,48.0748062133789,29267.224609375,3.75,36.3851547241211,8.97740459442139
2022-05-27,147.277191162109,266.480438232422,194.21467590332,208.067230224609,120.938125610352,47.6570701599121,28627.57421875,3.88000011444092,37.5033531188965,9.03947734832764
2022-05-31,146.489837646484,265.144287109375,192.731643676758,207.373321533203,121.822555541992,47.4704208374023,31792.310546875,3.8199999332428,37.6103134155273,9.04723644256592
2022-06-01,146.361892700195,265.680755615234,187.755096435547,205.183944702148,119.685165405273,46.5638542175293,29799.080078125,3.54999995231628,37.2116432189941,9.26449489593506
2022-06-02,148.822418212891,267.787231445312,197.927169799805,210.188217163086,121.610656738281,46.5994110107422,30467.48828125,4.19000005722046,37.795051574707,9.31880950927734
2022-06-03,143.084442138672,263.340118408203,189.885070800781,207.842437744141,119.915481567383,45.6217384338379,29704.390625,3.94000005722046,36.5699005126953,9.19466304779053
