"Date","AAPL","MSFT","META","V","JPM","C","BTC-USD","UEC","GM","ET"
2022-01-03,178.645660400391,325.038116455078,336.951965332031,215.660522460938,146.995819091797,55.0771942138672,46458.1171875,3.70000004768372,59.4783515930176,6.53094148635864
2022-01-04,176.378326416016,319.464599609375,334.951354980469,216.663681030273,152.568405151367,55.5048942565918,45897.57421875,3.80999994277954,63.9219703674316,6.68840408325195
2022-01-05,171.68669128418,307.201019287109,322.649383544922,214.267791748047,149.779113769531,54.8589782714844,43569.00390625,3.85999989509583,61.0049324035645,6.60592412948608
2022-01-06,168.820678710938,304.773529052734,330.900451660156,214.024291992188,151.370407104492,56.6570701599121,43160.9296875,3.6800000667572,61.1313400268555,6.80837488174438
2022-01-07,168.987564086914,304.928924560547,330.233612060547,211.306991577148,152.870162963867,57.4164505004883,41557.90234375,3.88000011444092,60.5479316711426,6.92834711074829
2022-01-10,169.007171630859,305.152191162109,326.531066894531,206.447021484375,153.016510009766,57.6346588134766,41821.26171875,3.75999999046326,59.3811111450195,6.83836841583252
2022-01-11,171.84375,305.841674804688,332.801513671875,208.794204711914,153.171951293945,58.5773544311523,42735.85546875,3.72000002861023,59.7603340148926,6.99583053588867
2022-01-12,172.285430908203,309.0361328125,331.696716308594,210.089553833008,154.040756225586,58.7257308959961,43949.1015625,3.60999989509583,59.3422241210938,7.22077560424805
2022-01-13,169.007171630859,295.95703125,324.948516845703,209.398056030273,153.848693847656,59.1621627807617,42591.5703125,3.27999997138977,60.0617637634277,7.07831048965454
2022-01-14,169.870895385742,301.200317382812,330.343048095703,209.07666015625,144.392639160156,58.420238494873,43099.69921875,3.3199999332428,59.4102821350098,7.19078397750854
2022-01-18,166.661361694336,293.869323730469,316.657592773438,210.089553833008,138.338562011719,56.9974899291992,42375.6328125,3.16000008583069,57.1641731262207,7.27326440811157
2022-01-19,163.157333374023,294.529632568359,318.0908203125,209.086364746094,136.19856262207,56.0722541809082,41744.328125,3.14000010490417,54.684684753418,7.19078397750854
2022-01-20,161.469131469727,292.849853515625,315.075073242188,208.764999389648,135.037139892578,56.2642784118652,40680.41796875,2.95000004768372,53.1386642456055,7.14579391479492
2022-01-21,159.407974243164,287.44140625,301.747863769531,200.564392089844,132.677703857422,55.2255821228027,36457.31640625,2.73000001907349,51.8065528869629,6.8758602142334
2022-01-24,158.632522583008,287.771514892578,307.261871337891,196.590698242188,132.558807373047,54.7280540466309,36654.328125,2.80999994277954,51.1842460632324,6.88335800170898
2022-01-25,156.826538085938,280.120147705078,298.742034912109,196.736785888672,134.00373840332,55.9587783813477,36954.00390625,2.80999994277954,50.4647102355957,6.96583890914917
2022-01-26,156.738220214844,288.101684570312,293.247955322266,200.505950927734,135.274932861328,56.5174026489258,36852.12109375,2.65000009536743,50.9022674560547,7.26576471328735
2022-01-27,156.276931762695,291.140869140625,293.257904052734,200.778671264648,132.888046264648,55.9936943054199,37138.234375,2.42000007629395,50.027156829834,7.1982831954956
2022-01-28,167.181579589844,299.316650390625,300.294708251953,222.059371948242,134.076904296875,56.4650382995605,37784.33203125,2.49000000953674,48.8506202697754,7.12330102920532
2022-01-31,171.549301147461,301.957763671875,311.79052734375,220.277038574219,135.896789550781,56.8403701782227,38483.125,2.60999989509583,51.2717552185059,7.17578744888306
2022-02-01,171.382431030273,299.802093505859,317.503601074219,226.305740356445,138.228775024414,58.0972709655762,38743.2734375,2.75999999046326,52.5747032165527,7.34824562072754
2022-02-02,172.589706420898,304.365692138672,321.484832763672,229.285995483398,137.12223815918,57.8092384338379,36952.984375,2.69000005722046,52.0204696655273,7.46821737289429
2022-02-03,169.704055786133,292.509918212891,236.644683837891,225.507095336914,135.988235473633,56.962574005127,37154.6015625,2.54999995231628,51.6412544250488,7.67816829681396
2022-02-04,169.419052124023,297.063842773438,235.977844238281,222.439193725586,139.518264770508,58.1326065063477,41500.875,2.70000004768372,49.87158203125,7.67816829681396
2022-02-07,168.70166015625,292.218719482422,223.85498046875,221.241256713867,139.984680175781,58.3789329528809,43840.28515625,2.76999998092651,49.3076171875,7.57518196105957
2022-02-08,171.817001342773,295.723907470703,219.14714050293,222.000915527344,142.618469238281,59.0475311279297,44118.4453125,2.9300000667572,48.0921936035156,7.60569667816162
2022-02-09,173.242004394531,302.180999755859,230.911712646484,224.854583740234,143.212921142578,59.6809196472168,44338.796875,3.22000002861023,49.3173484802246,7.61332368850708
2022-02-10,169.153671264648,293.607208251953,227.00016784668,220.069580078125,142.618469238281,59.3818168640137,43565.11328125,3.08999991416931,48.9478530883789,7.62858247756958
2022-02-11,165.733673095703,286.480163574219,218.520111083984,219.191635131836,140.761993408203,59.0739288330078,42407.9375,3.01999998092651,47.479621887207,7.85743999481201
2022-02-14,165.969543457031,286.441314697266,216.678787231445,219.825714111328,139.454254150391,58.4668998718262,42586.91796875,3.03999996185303,47.0615043640137,7.70486879348755
2022-02-15,169.812164306641,291.752624511719,219.963317871094,222.245040893555,141.493621826172,58.9419555664062,44575.203125,3.25999999046326,48.2963829040527,7.75826930999756
2022-02-16,169.576293945312,291.412017822266,215.524230957031,223.220565795898,141.74967956543,58.8979644775391,43961.859375,3.23000001907349,49.0353660583496,7.72775411605835
2022-02-17,165.969543457031,282.87890625,206.73567199707,219.113571166992,138.484878540039,56.9273796081543,40538.01171875,3.00999999046326,47.4698905944824,7.79641246795654
2022-02-18,164.416748046875,280.154541015625,205.192932128906,217.240570068359,139.134185791016,56.4259262084961,40030.9765625,2.88000011444092,47.255973815918,7.66672468185425
